Date : 2023-03-06 16:35:47
Directory : /home/lewis/winterwell/my-loop
Total : 557 files,  51864 codes, 11483 comments, 6438 blanks, all 69785 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript React   |        195 |     20,016 |      5,890 |      3,377 |     29,283 |
| XML                |        164 |     12,707 |         57 |        159 |     12,923 |
| JavaScript         |         86 |      9,100 |      4,252 |      1,320 |     14,672 |
| Less               |         79 |      8,332 |        820 |      1,337 |     10,489 |
| TypeScript         |          3 |        632 |        314 |        101 |      1,047 |
| JSON               |          5 |        446 |          0 |          2 |        448 |
| Java               |          3 |        253 |         52 |         43 |        348 |
| TypeScript React   |          3 |        132 |         49 |         29 |        210 |
| HTML               |          4 |         97 |         27 |         27 |        151 |
| Shell Script       |          4 |         49 |          7 |          5 |         61 |
| Python             |          1 |         37 |         11 |         16 |         64 |
| Markdown           |          5 |         28 |          0 |         17 |         45 |
| JSON with Comments |          1 |         28 |          0 |          2 |         30 |
| Java Properties    |          2 |          4 |          1 |          1 |          6 |
| Properties         |          1 |          2 |          0 |          1 |          3 |
| CSS                |          1 |          1 |          3 |          1 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        557 |     51,864 |     11,483 |      6,438 |     69,785 |
| . (Files)                                                                                          |         14 |        613 |         64 |         49 |        726 |
| builder                                                                                            |          1 |         10 |          0 |          5 |         15 |
| builder/com                                                                                        |          1 |         10 |          0 |          5 |         15 |
| builder/com/goodloop                                                                               |          1 |         10 |          0 |          5 |         15 |
| builder/com/goodloop/myloop                                                                        |          1 |         10 |          0 |          5 |         15 |
| config                                                                                             |         11 |        140 |         67 |         34 |        241 |
| pages                                                                                              |          2 |          6 |          0 |          4 |         10 |
| pages (Files)                                                                                      |          1 |          2 |          0 |          1 |          3 |
| pages/green                                                                                        |          1 |          4 |          0 |          3 |          7 |
| src                                                                                                |        356 |     37,942 |     11,265 |      6,158 |     55,365 |
| src/java                                                                                           |          2 |        243 |         52 |         38 |        333 |
| src/java/com                                                                                       |          2 |        243 |         52 |         38 |        333 |
| src/java/com/goodloop                                                                              |          2 |        243 |         52 |         38 |        333 |
| src/java/com/goodloop/myloop                                                                       |          2 |        243 |         52 |         38 |        333 |
| src/js                                                                                             |        304 |     31,151 |     10,723 |      5,085 |     46,959 |
| src/js (Files)                                                                                     |          9 |        264 |         34 |         69 |        367 |
| src/js/base                                                                                        |        168 |     15,636 |      7,936 |      2,877 |     26,449 |
| src/js/base (Files)                                                                                |          9 |      1,289 |        846 |        191 |      2,326 |
| src/js/base/components                                                                             |         81 |      7,072 |      3,722 |      1,454 |     12,248 |
| src/js/base/components (Files)                                                                     |         57 |      5,732 |      2,934 |      1,087 |      9,753 |
| src/js/base/components/propcontrols                                                                |         24 |      1,340 |        788 |        367 |      2,495 |
| src/js/base/data                                                                                   |         33 |      2,886 |      1,573 |        498 |      4,957 |
| src/js/base/plumbing                                                                               |          9 |      1,621 |        944 |        256 |      2,821 |
| src/js/base/style                                                                                  |         30 |      1,821 |        341 |        318 |      2,480 |
| src/js/base/style (Files)                                                                          |         28 |      1,771 |        325 |        309 |      2,405 |
| src/js/base/style/PropControls                                                                     |          2 |         50 |         16 |          9 |         75 |
| src/js/base/utils                                                                                  |          6 |        947 |        510 |        160 |      1,617 |
| src/js/components                                                                                  |        119 |     14,797 |      2,671 |      2,079 |     19,547 |
| src/js/components (Files)                                                                          |         31 |      2,626 |        633 |        411 |      3,670 |
| src/js/components/campaignpage                                                                     |         10 |      1,077 |        223 |        160 |      1,460 |
| src/js/components/cards                                                                            |          8 |        490 |        133 |         85 |        708 |
| src/js/components/impact                                                                           |         14 |      2,392 |        248 |        280 |      2,920 |
| src/js/components/mydata                                                                           |         12 |      1,466 |        235 |        226 |      1,927 |
| src/js/components/pages                                                                            |         44 |      6,746 |      1,199 |        917 |      8,862 |
| src/js/components/pages (Files)                                                                    |         26 |      3,819 |        401 |        432 |      4,652 |
| src/js/components/pages/greendash                                                                  |         18 |      2,927 |        798 |        485 |      4,210 |
| src/js/data                                                                                        |          4 |         69 |         11 |         20 |        100 |
| src/js/plumbing                                                                                    |          2 |         61 |         67 |         32 |        160 |
| src/js/utils                                                                                       |          2 |        324 |          4 |          8 |        336 |
| src/python                                                                                         |          1 |         37 |         11 |         16 |         64 |
| src/python/__tests__                                                                               |          1 |         37 |         11 |         16 |         64 |
| src/style                                                                                          |         49 |      6,511 |        479 |      1,019 |      8,009 |
| src/style (Files)                                                                                  |         44 |      5,970 |        443 |        903 |      7,316 |
| src/style/impact_overview                                                                          |          5 |        541 |         36 |        116 |        693 |
| templates                                                                                          |          3 |         74 |         24 |         19 |        117 |
| web                                                                                                |        170 |     13,079 |         63 |        169 |     13,311 |
| web (Files)                                                                                        |          2 |         79 |          7 |         10 |         96 |
| web/fonts                                                                                          |          1 |      2,671 |          0 |          1 |      2,672 |
| web/img                                                                                            |        162 |      9,985 |         50 |        148 |     10,183 |
| web/img (Files)                                                                                    |         29 |      1,501 |          0 |         29 |      1,530 |
| web/img/Impact                                                                                     |          4 |        406 |          1 |          2 |        409 |
| web/img/LandingBackground                                                                          |          7 |      1,444 |         38 |         54 |      1,536 |
| web/img/LandingBackground (Files)                                                                  |          2 |        114 |          0 |          2 |        116 |
| web/img/LandingBackground/svg-desktop                                                              |          2 |        976 |         37 |         41 |      1,054 |
| web/img/LandingBackground/svg-mobile                                                               |          3 |        354 |          1 |         11 |        366 |
| web/img/LandingCharity                                                                             |          3 |         33 |          0 |          2 |         35 |
| web/img/TabsForGood                                                                                |          5 |         17 |          0 |          1 |         18 |
| web/img/TabsForGood (Files)                                                                        |          2 |         14 |          0 |          1 |         15 |
| web/img/TabsForGood/WelcomePage                                                                    |          3 |          3 |          0 |          0 |          3 |
| web/img/curves                                                                                     |         12 |        432 |          0 |         11 |        443 |
| web/img/footer                                                                                     |          3 |         40 |          0 |          2 |         42 |
| web/img/getinvolved                                                                                |          6 |          6 |          0 |          0 |          6 |
| web/img/gl-logo                                                                                    |         20 |      1,347 |          4 |         20 |      1,371 |
| web/img/gl-logo/AdsForGood                                                                         |          1 |        181 |          1 |          3 |        185 |
| web/img/gl-logo/LogoMark                                                                           |          6 |        455 |          0 |          6 |        461 |
| web/img/gl-logo/TabsForGood                                                                        |          1 |         11 |          0 |          1 |         12 |
| web/img/gl-logo/external                                                                           |          9 |        349 |          3 |          7 |        359 |
| web/img/gl-logo/rectangle                                                                          |          3 |        351 |          0 |          3 |        354 |
| web/img/green                                                                                      |         13 |      3,044 |          1 |         12 |      3,057 |
| web/img/green (Files)                                                                              |          8 |      2,949 |          1 |          7 |      2,957 |
| web/img/green/dashboard                                                                            |          5 |         95 |          0 |          5 |        100 |
| web/img/homepage                                                                                   |         26 |      1,213 |          0 |          8 |      1,221 |
| web/img/icons                                                                                      |          2 |         11 |          0 |          1 |         12 |
| web/img/logo                                                                                       |          2 |         53 |          0 |          0 |         53 |
| web/img/mydata                                                                                     |         15 |         20 |          0 |          0 |         20 |
| web/img/mydata (Files)                                                                             |          9 |         14 |          0 |          0 |         14 |
| web/img/mydata/product-page                                                                        |          6 |          6 |          0 |          0 |          6 |
| web/img/ourimpact                                                                                  |          2 |          2 |          0 |          0 |          2 |
| web/img/pub-logos                                                                                  |          1 |         50 |          1 |          0 |         51 |
| web/img/share                                                                                      |          5 |          5 |          0 |          0 |          5 |
| web/img/splash-screen                                                                              |          6 |        287 |          4 |          3 |        294 |
| web/img/vertiser-logos                                                                             |          1 |         74 |          1 |          3 |         78 |
| web/js-data                                                                                        |          3 |        320 |          0 |          1 |        321 |
| web/style                                                                                          |          1 |          1 |          3 |          1 |          5 |
| web/test                                                                                           |          1 |         23 |          3 |          8 |         34 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                           | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/lewis/winterwell/my-loop/.eslintrc.js                                                        | JavaScript         |        197 |          0 |          1 |        198 |
| /home/lewis/winterwell/my-loop/GLAppManifest.js                                                    | JavaScript         |         12 |          3 |          2 |         17 |
| /home/lewis/winterwell/my-loop/README.md                                                           | Markdown           |          9 |          0 |          5 |         14 |
| /home/lewis/winterwell/my-loop/builder/com/goodloop/myloop/BuildMyLoop.java                        | Java               |         10 |          0 |          5 |         15 |
| /home/lewis/winterwell/my-loop/config/Lewis-GoodLoop.js                                            | JavaScript         |         17 |          6 |          3 |         26 |
| /home/lewis/winterwell/my-loop/config/baker.js                                                     | JavaScript         |          9 |          4 |          4 |         17 |
| /home/lewis/winterwell/my-loop/config/enchantedtray.js                                             | JavaScript         |         14 |          9 |          4 |         27 |
| /home/lewis/winterwell/my-loop/config/geoff-vm.js                                                  | JavaScript         |         14 |          7 |          3 |         24 |
| /home/lewis/winterwell/my-loop/config/gravitas.js                                                  | JavaScript         |         15 |          8 |          4 |         27 |
| /home/lewis/winterwell/my-loop/config/jerbil.properties                                            | Java Properties    |          3 |          1 |          0 |          4 |
| /home/lewis/winterwell/my-loop/config/myloop.properties                                            | Java Properties    |          1 |          0 |          1 |          2 |
| /home/lewis/winterwell/my-loop/config/pinkthad.js                                                  | JavaScript         |         16 |          8 |          4 |         28 |
| /home/lewis/winterwell/my-loop/config/vdurkin-gl.js                                                | JavaScript         |         17 |          7 |          4 |         28 |
