,Ryan,Process doc,https://docs.google.com/document/d/1bO6yBVdfjslgesZ32z1lYGIUqEWN3956MHVS22CO8XM/edit?ts=5f0c663d#,,,,,,,,,,,,,,,Notes,,
Name of Campaign,Campaign Number (Job No),Campaign End,Campaign Value (£),Fees & discounts notes,Total Donation Pledged,Donation %,Name of Charity Partner,Native Currency,Donation Pledged by Charity,Invoice date & number,Accrual,Have they paid us?,Have we donated?,"Impact Units, e.g. ""night(s) of hospital accommodation""",Impact Unit Cost (£),Impact amount,Source reference for Impact (eg website link),,Bank Details,Notes
Total,,,"£2,149,074.81",,"£1,045,698.52",48.7%,120,,"£915,011.51",,,"£614,112.51","£749,623.60",,,,,Total-by-charity this should be <= Total,,
"Total for 2019 onwards (""the Xero era"")",,From row 117,"£1,818,269.45",,"£881,571.58",48.5%,,,"£750,345.39",,,"£477,774.97","£639,665.84",,,,,,,
74,"Note: Records from ""the FreeAgent era"" (2017 and 2018) are hard to reconcile. We have drawn a line under 2018. The account here probably underestimates the donations we made.",,,,,,,,,,,,,,,,,,,
KERB,,,£150.00,,£75.00,50.0%,Alzheimer's Research,,£15.65,,,Y,Y,,,,,,Donate through website,
,,,,,,,Art Fund,,,,,Y,N,,,,,£0.28,So we decided to consolidate the payments on the top 3. Our 1st campaign - it was a learning experience,
,,,,,,,Battersea Dogs & Cats Home,,,,,Y,N,,,,,£8.67,,
,,,,,,,Cancer Research UK,,,,,Y,N,,,,,£9.16,,
,,,,,,,Care International,,,,,Y,N,,,,,£0.99,,
,,,,,,,Centre Point,,,,,Y,N,,,,,£0.92,,
,,,,,,,Dementia UK,,,,,Y,N,,,,,£0.49,,
,,,,,,,English Heritage Trust,,,,,Y,N,,,,,£0.21,,
,,,,,,,Friends of the Earth,,,,,Y,N,,,,,£0.07,,
,,,,,,,Girls Not Brides,,,,,Y,N,,,,,£0.07,,
,,,,,,,Great Ormond Street,,,,,Y,N,,,,,£1.34,,
,,,,,,,London Wildlife Trust,,,,,Y,N,,,,,£0.78,,
,,,,,,,Meningitis Foundation,,,,,Y,N,,,,,£1.20,,
,,,,,,,NSPCC,,,,,Y,N,,,,,£0.35,,
,,,,,,,Prince of Wales Trust,,,,,Y,N,,,,,£0.07,,
,,,,,,,Save The Children,,£13.53,,,Y,Y,,,,,,Donate through website,40300.70988
,,,,,,,Shelter,,,,,Y,N,,,,,£8.39,,9
,,,,,,,Solar Aid,,,,,Y,N,,,,,£0.56,,
,,,,,,,Tate Foundation,,,,,Y,N,,,,,£0.21,,
,,,,,,,Teach First,,,,,Y,N,,,,,£0.07,,
,,,,,,,The English Heritage Trust,,,,,Y,N,,,,,£0.07,,
,,,,,,,UN Women,,,,,Y,N,,,,,£2.82,,
,,,,,,,WaterAid,,,,,Y,N,,,,,£9.09,,
,,,,,,,Magic Breakfast ,,£45.82,,,Y,Y,,,,,,Donate through website,
Simba,,,,,,,Battersea Dogs & Cats Home,,,,,,,,,,,,,
,,,,,,,Alzheimer's Research,,,,,,,,,,,,,
,,,,,,,Cancer Research UK,,,,,,,,,,,,,
Eurostar,,,"£1,080.00",,£540.00,50.0%,Girls Not Brides,,£53.34,,,Y,Y,,,,,,Donate through website,
,,,,,,,MS Society,,£60.56,,,Y,Y,,,,,,Donate through website,
,,,,,,,Save The Children,,£351.00,,,Y,Y,,,,,,Donate through website,
,,,,,,,YPTE,,£138.41,,,Y,Y,,,,,,Donate through website,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Alzheimer's Research,,£0.24,,,Y,N,,,,,,,
Donation Curve = (Original Amount * 0.69135),,,,,,,Battersea Dogs & Cats Home,,£1.04,,,Y,N,,,,,,,
All amounts Listed have ALREADY BEEN CURVED!,,,,,,,Cancer Research UK,,£0.59,,,Y,N,,,,,,,
,,,,,,,Care International,,£0.07,,,Y,N,,,,,,,
,,,,,,,Dementia UK,,£0.14,,,Y,N,,,,,,,
,,,,,,,End Fund,,£0.03,,,Y,N,,,,,,,
,,,,,,,MacMillan Cancer Support,,£0.07,,,Y,N,,,,,,,
,,,,,,,NSPCC,,£0.24,,,Y,N,,,,,,,
,,,,,,,Oscar Foundation,,£0.03,,,Y,N,,,,,,,
,,,,,,,Solar Aid,,£0.66,,,Y,N,,,,,,,
